Candidate,Safety offset,MAE,RMSE,R2,NASA Score,Near-failure MAE,Late prediction rate,Maximum overprediction,Mean residual
Ridge — Temporal | alpha=1000,0.0,48.72712811804054,64.44764938772909,0.6630105045934523,1357809674.9781766,14.8734337974898,0.5479934924078091,198.89491746025487,-0.4591529845138448
Ridge — Current Cycle | alpha=0.01,18.0,50.4991974688377,68.21729713126508,0.6224354460503949,5267397318.793177,14.24487567577662,0.4289587852494577,169.63644070954047,-16.02799106658958
Ridge — Current Cycle | alpha=0.01,20.0,50.61995560243482,68.66227311269138,0.6174937343827992,6125268253.760876,14.009615050646412,0.41567245119305857,167.63644070954047,-17.83791393088759
Ridge — Current Cycle | alpha=0.01,22.0,50.77803890365691,69.15387094805558,0.6119969050108526,7129104298.716536,13.79606422721802,0.40536876355748375,165.63644070954047,-19.640765320823213
Ridge — Current Cycle | alpha=0.01,24.0,50.97461069563632,69.69000778901552,0.6059573549108304,8302584464.407043,13.599811521077072,0.39316702819956617,163.63644070954047,-21.435108231477603
Ridge — Current Cycle | alpha=0.01,26.0,51.209427379270075,70.2713559728375,0.5993557932341381,9673434077.189121,13.400083168988715,0.3823210412147505,161.63644070954047,-23.224410916637808
Ridge — Current Cycle | alpha=0.01,28.0,51.49322692930369,70.89476122914651,0.5922157123944444,11274077920.440504,13.239890234395292,0.36550976138828634,159.63644070954047,-25.00626812503056
Ridge — Current Cycle | alpha=0.01,30.0,51.83902618603339,71.56086999311798,0.5845168427077597,13142406028.753265,13.147887338811378,0.35059652928416485,157.63644070954047,-26.783690314114892
Ridge — Current Cycle | alpha=0.01,32.0,52.238506148675334,72.26754457590586,0.5762704053563185,15322669227.722132,13.060730368699856,0.3364967462039046,155.63644070954047,-28.555018986804498
Ridge — Current Cycle | alpha=0.01,34.0,52.68581890257052,73.01275343580454,0.5674865144914494,17866526305.18259,13.001179417854527,0.3237527114967462,153.63644070954047,-30.321895018578335
Ridge — Current Cycle | alpha=0.01,36.0,53.17226999933354,73.7941189322807,0.5581796623200331,20834267333.04152,12.950747926505162,0.3129067245119306,151.63644070954047,-32.08120358693035
Ridge — Current Cycle | alpha=0.01,38.0,53.69958266796128,74.61001267548552,0.5483558106998268,24296241950.888523,12.901381144599744,0.2993492407809111,149.63644070954047,-33.832799580485414
Ridge — Current Cycle | alpha=0.01,40.0,54.27598640361265,75.46166545752305,0.5379861747926811,28334526495.813225,12.896353592243724,0.2868763557483731,147.63644070954047,-35.58060674768408
Ridge — Current Cycle | alpha=0.01,42.0,54.902080647082144,76.3477391662617,0.5270725070701878,33044869352.362503,12.912241730869992,0.2719631236442516,145.63644070954047,-37.32322051456612
Ridge — Current Cycle | alpha=0.01,44.0,55.57063709217754,77.26329508758685,0.5156618806073198,38538960397.83428,12.941334675713616,0.26003253796095444,143.63644070954047,-39.056734594822494
Ridge — Current Cycle | alpha=0.01,46.0,56.27374925129647,78.20788901908956,0.503746792531212,44947079456.865234,12.973880310496973,0.25162689804772237,141.63644070954047,-40.78340133963116
Ridge — Current Cycle | alpha=0.01,48.0,57.01453943148774,79.18127292262224,0.49131707719330897,52421186097.07175,13.015704418119704,0.238882863340564,139.63644070954047,-42.50264373401429
Ridge — Current Cycle | alpha=0.01,50.0,57.785756607997094,80.18027253800946,0.4784003926432353,61138521622.03309,13.074440331429521,0.2302060737527115,137.63644070954047,-44.21313932338771
