Model,Horizon,Threshold,Samples,Positive rate,Predicted positive rate,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,True negatives,False positives,False negatives,True positives,F2
Calibrated Logistic,20,0.44,3062,0.10287393860222077,0.11463096015676029,0.9804049640757675,0.8632478632478633,0.9619047619047619,0.9099099099099099,0.9972553030434356,0.9764091058349069,2699,48,12,303,0.9404096834264433
Calibrated Logistic,20,0.45,3062,0.10287393860222077,0.1139777922926192,0.9804049640757675,0.8653295128939829,0.9587301587301588,0.9096385542168675,0.9972553030434356,0.9764091058349069,2700,47,13,302,0.9384711000621503
Calibrated Logistic,20,0.46,3062,0.10287393860222077,0.11299804049640758,0.9813847158719791,0.8728323699421965,0.9587301587301588,0.913767019667171,0.9972553030434356,0.9764091058349069,2703,44,13,302,0.9402241594022417
Calibrated Logistic,20,0.47,3062,0.10287393860222077,0.11169170476812541,0.9826910516002613,0.8830409356725146,0.9587301587301588,0.9193302891933028,0.9972553030434356,0.9764091058349069,2707,40,13,302,0.9425717852684146
Calibrated Logistic,20,0.48,3062,0.10287393860222077,0.11103853690398433,0.9820378837361202,0.8823529411764706,0.9523809523809523,0.916030534351145,0.9972553030434356,0.9764091058349069,2707,40,15,300,0.9375
Calibrated Logistic,20,0.49,3062,0.10287393860222077,0.11103853690398433,0.9820378837361202,0.8823529411764706,0.9523809523809523,0.916030534351145,0.9972553030434356,0.9764091058349069,2707,40,15,300,0.9375
Calibrated Logistic,20,0.5,3062,0.10287393860222077,0.11038536903984324,0.9820378837361202,0.8846153846153846,0.9492063492063492,0.9157733537519143,0.9972553030434356,0.9764091058349069,2708,39,16,299,0.9355444305381727
Calibrated Logistic,20,0.51,3062,0.10287393860222077,0.10940561724363161,0.9823644676681907,0.8895522388059701,0.946031746031746,0.916923076923077,0.9972553030434356,0.9764091058349069,2710,37,17,298,0.9341692789968653
Calibrated Logistic,20,0.52,3062,0.10287393860222077,0.10809928151534945,0.9817112998040496,0.8912386706948641,0.9365079365079365,0.913312693498452,0.9972553030434356,0.9764091058349069,2711,36,20,295,0.9270898805782527
Calibrated Logistic,20,0.53,3062,0.10287393860222077,0.10744611365120836,0.9817112998040496,0.8936170212765957,0.9333333333333333,0.9130434782608695,0.9972553030434356,0.9764091058349069,2712,35,21,294,0.9251101321585902
Calibrated Logistic,20,0.54,3062,0.10287393860222077,0.10581319399085565,0.9813847158719791,0.8981481481481481,0.9238095238095239,0.9107981220657277,0.9972553030434356,0.9764091058349069,2714,33,24,291,0.918560606060606
Calibrated Logistic,20,0.55,3062,0.10287393860222077,0.10483344219464402,0.9810581319399085,0.9003115264797508,0.9174603174603174,0.9088050314465409,0.9972553030434356,0.9764091058349069,2715,32,26,289,0.9139784946236559
Calibrated Logistic,20,0.56,3062,0.10287393860222077,0.1038536903984324,0.9813847158719791,0.9056603773584906,0.9142857142857143,0.909952606635071,0.9972553030434356,0.9764091058349069,2717,30,27,288,0.9125475285171101
Calibrated Logistic,20,0.57,3062,0.10287393860222077,0.10320052253429131,0.9813847158719791,0.9082278481012658,0.9111111111111111,0.9096671949286846,0.9972553030434356,0.9764091058349069,2718,29,28,287,0.9105329949238579
Calibrated Logistic,20,0.58,3062,0.10287393860222077,0.10254735467015023,0.9813847158719791,0.910828025477707,0.9079365079365079,0.9093799682034976,0.9972553030434356,0.9764091058349069,2719,28,29,286,0.9085133418043202
Calibrated Logistic,20,0.59,3062,0.10287393860222077,0.10091443500979752,0.9817112998040496,0.919093851132686,0.9015873015873016,0.9102564102564102,0.9972553030434356,0.9764091058349069,2722,25,31,284,0.9050350541746335
Calibrated Logistic,20,0.6,3062,0.10287393860222077,0.0999346832135859,0.9813847158719791,0.9215686274509803,0.8952380952380953,0.9082125603864735,0.9972553030434356,0.9764091058349069,2723,24,33,282,0.900383141762452
