Threshold 10,Threshold 20,Threshold 30,Total asymmetric cost,Total false positives,Total false negatives,Mean recall,Mean F1
0.05,0.05,0.04,411.0,383,4,0.9971326164874551,0.8304579091911818
0.09,0.04,0.03,415.0,394,3,0.9978494623655915,0.8341081890009504
0.09999999999999999,0.04,0.04,415.0,387,4,0.9971326164874551,0.837610066448104
0.09,0.04,0.04,419.0,391,4,0.9971326164874551,0.8344977103945714
0.08,0.04,0.03,421.0,400,3,0.9978494623655915,0.8295612313289927
0.06999999999999999,0.04,0.03,424.0,403,3,0.9978494623655915,0.8273406240938507
0.09999999999999999,0.03,0.03,425.0,404,3,0.9978494623655915,0.8325212969341821
0.08,0.04,0.04,425.0,397,4,0.9971326164874551,0.8299507527226138
0.2,0.15,0.08,426.0,229,18,0.9762665052987632,0.8882911202572127
0.2,0.15,0.09,426.0,229,18,0.9762665052987632,0.8882911202572127
0.2,0.15,0.09999999999999999,426.0,229,18,0.9762665052987632,0.8882911202572127
0.2,0.2,0.08,426.0,229,18,0.9762665052987632,0.8882911202572127
0.2,0.2,0.09,426.0,229,18,0.9762665052987632,0.8882911202572127
0.2,0.2,0.09999999999999999,426.0,229,18,0.9762665052987632,0.8882911202572127
0.060000000000000005,0.04,0.03,427.0,406,3,0.9978494623655915,0.8251541800469414
0.06999999999999999,0.04,0.04,428.0,400,4,0.9971326164874551,0.8277301454874716
0.09,0.03,0.03,429.0,408,3,0.9978494623655915,0.8294089408806496
0.2,0.15,0.06999999999999999,429.0,232,18,0.9762665052987632,0.8874764093109765
0.2,0.2,0.06999999999999999,429.0,232,18,0.9762665052987632,0.8874764093109765
0.060000000000000005,0.04,0.04,431.0,403,4,0.9971326164874551,0.8255437014405623
0.15,0.04,0.03,431.0,380,5,0.9938090583251874,0.8432870600582745
0.05,0.04,0.03,433.0,412,3,0.9978494623655915,0.8208806757734372
0.2,0.15,0.15,433.0,187,25,0.97124858415181,0.8976666062633464
0.2,0.2,0.15,433.0,187,25,0.97124858415181,0.8976666062633464
0.2,0.2,0.2,433.0,187,25,0.97124858415181,0.8976666062633464
0.25,0.15,0.08,434.0,222,19,0.9742463032785613,0.8933467851768232
0.25,0.15,0.09,434.0,222,19,0.9742463032785613,0.8933467851768232
0.25,0.15,0.09999999999999999,434.0,222,19,0.9742463032785613,0.8933467851768232
0.25,0.2,0.08,434.0,222,19,0.9742463032785613,0.8933467851768232
0.25,0.2,0.09,434.0,222,19,0.9742463032785613,0.8933467851768232
0.25,0.2,0.09999999999999999,434.0,222,19,0.9742463032785613,0.8933467851768232
0.25,0.25,0.08,434.0,222,19,0.9742463032785613,0.8933467851768232
0.25,0.25,0.09,434.0,222,19,0.9742463032785613,0.8933467851768232
0.25,0.25,0.09999999999999999,434.0,222,19,0.9742463032785613,0.8933467851768232
0.08,0.03,0.03,435.0,414,3,0.9978494623655915,0.824861983208692
0.15,0.04,0.04,435.0,377,6,0.9930922124470513,0.8436765814518955
0.05,0.04,0.04,437.0,409,4,0.9971326164874551,0.8212701971670581
0.25,0.15,0.06999999999999999,437.0,225,19,0.9742463032785613,0.892532074230587
0.25,0.2,0.06999999999999999,437.0,225,19,0.9742463032785613,0.892532074230587
0.25,0.25,0.06999999999999999,437.0,225,19,0.9742463032785613,0.892532074230587
0.06999999999999999,0.03,0.03,438.0,417,3,0.9978494623655915,0.8226413759735499
0.04,0.04,0.03,438.0,417,3,0.9978494623655915,0.8174171124594998
0.2,0.08,0.08,439.0,292,13,0.9815575105897686,0.8658190669259188
0.2,0.09,0.08,439.0,292,13,0.9815575105897686,0.8658190669259188
